posteam,Total Offensive Plays,Team Pass(%),Team Rush(%),Pass Attempts,Pass Completions,Pass Completion(%),Pass Yds,Yds Per Pass Attempt,Yds Per Pass Completion,Pass TDs,Pass TDs (%GT),Rush Attempts,Rush Yards,Yds per Rush,Rush TDs,Rush TDs (%GT)
ARI,1166,57.38%,42.62%,669,434,64.87%,4756.0,7.109118086696562,10.95852534562212,24,45.28%,497,2157.0,4.340040241448692,24,45.28%
ATL,998,61.52%,38.48%,614,377,61.40%,3987.0,6.493485342019544,10.575596816976127,11,32.35%,384,1461.0,3.8046875,11,32.35%
BAL,1177,56.75%,43.25%,668,396,59.28%,4267.0,6.387724550898204,10.775252525252526,18,41.86%,509,2487.0,4.886051080550098,18,41.86%
BUF,1240,60.56%,39.44%,751,463,61.65%,5087.0,6.773635153129161,10.987041036717063,23,33.82%,489,2514.0,5.141104294478527,23,33.82%
CAR,1099,59.42%,40.58%,653,348,53.29%,3573.0,5.47166921898928,10.267241379310345,17,51.52%,446,1855.0,4.1591928251121075,17,51.52%
CHI,1067,56.33%,43.67%,601,332,55.24%,3635.0,6.048252911813644,10.948795180722891,14,43.75%,466,2028.0,4.351931330472103,14,43.75%
CIN,1286,60.03%,39.97%,772,482,62.44%,5917.0,7.664507772020725,12.275933609958507,17,27.42%,514,2099.0,4.083657587548638,17,27.42%
CLE,1043,54.55%,45.45%,569,320,56.24%,3619.0,6.360281195079086,11.309375,20,47.62%,474,2483.0,5.238396624472574,20,47.62%
DAL,1212,60.48%,39.52%,733,468,63.85%,5233.0,7.139154160982264,11.181623931623932,16,27.12%,479,2204.0,4.60125260960334,16,27.12%
DEN,1032,56.49%,43.51%,583,354,60.72%,3856.0,6.614065180102916,10.892655367231638,16,41.03%,449,2031.0,4.523385300668151,16,41.03%
DET,1056,59.66%,40.34%,630,396,62.86%,3884.0,6.165079365079365,9.808080808080808,12,32.43%,426,1887.0,4.429577464788732,12,32.43%
GB,1105,59.55%,40.45%,658,422,64.13%,4751.0,7.220364741641338,11.25829383886256,14,26.42%,447,1987.0,4.445190156599552,14,26.42%
HOU,1006,58.45%,41.55%,588,354,60.20%,3630.0,6.173469387755102,10.254237288135593,8,27.59%,418,1426.0,3.411483253588517,8,27.59%
IND,1044,53.35%,46.65%,557,324,58.17%,3588.0,6.44165170556553,11.074074074074074,22,44.00%,487,2554.0,5.24435318275154,22,44.00%
JAX,1024,62.30%,37.70%,638,361,56.58%,3674.0,5.758620689655173,10.177285318559557,13,46.43%,386,1764.0,4.569948186528498,13,46.43%
KC,1321,63.29%,36.71%,836,538,64.35%,5996.0,7.172248803827751,11.144981412639405,18,26.09%,485,2402.0,4.952577319587629,18,26.09%
LA,1309,60.35%,39.65%,790,505,63.92%,6121.0,7.748101265822785,12.12079207920792,12,17.91%,519,2035.0,3.9210019267822736,12,17.91%
LAC,1123,63.40%,36.60%,712,443,62.22%,5014.0,7.042134831460674,11.318284424379232,18,30.51%,411,1849.0,4.4987834549878345,18,30.51%
LV,1142,63.40%,36.60%,724,458,63.26%,5118.0,7.069060773480663,11.174672489082969,14,34.15%,418,1730.0,4.138755980861244,14,34.15%
MIA,1085,60.46%,39.54%,656,404,61.59%,3936.0,6.0,9.742574257425742,12,35.29%,429,1579.0,3.6806526806526807,12,35.29%
MIN,1076,58.74%,41.26%,632,398,62.97%,4450.0,7.041139240506329,11.180904522613066,10,22.73%,444,1945.0,4.38063063063063,10,22.73%
NE,1097,55.06%,44.94%,604,388,64.24%,4330.0,7.16887417218543,11.15979381443299,24,44.44%,493,2268.0,4.600405679513185,24,44.44%
NO,1040,52.21%,47.79%,543,293,53.96%,3437.0,6.329650092081032,11.73037542662116,12,27.27%,497,2006.0,4.036217303822937,12,27.27%
NYG,1042,60.36%,39.64%,629,351,55.80%,3463.0,5.505564387917329,9.866096866096866,8,30.77%,413,1697.0,4.108958837772397,8,30.77%
NYJ,1036,63.71%,36.29%,660,357,54.09%,3959.0,5.998484848484848,11.089635854341736,14,41.18%,376,1676.0,4.457446808510638,14,41.18%
PHI,1130,50.71%,49.29%,573,330,57.59%,3843.0,6.706806282722513,11.645454545454545,26,54.17%,557,2822.0,5.066427289048474,26,54.17%
PIT,1166,64.32%,35.68%,750,454,60.53%,4232.0,5.642666666666667,9.321585903083701,10,27.78%,416,1653.0,3.9735576923076925,10,27.78%
SEA,947,57.23%,42.77%,542,324,59.78%,3815.0,7.038745387453875,11.774691358024691,18,36.73%,405,2081.0,5.1382716049382715,18,36.73%
SF,1196,52.09%,47.91%,623,386,61.96%,4972.0,7.980738362760834,12.880829015544041,24,46.15%,573,2502.0,4.366492146596858,24,46.15%
TB,1263,67.38%,32.62%,851,551,64.75%,5983.0,7.030552291421857,10.858439201451906,22,31.43%,412,1845.0,4.478155339805825,22,31.43%
TEN,1172,51.79%,48.21%,607,374,61.61%,3965.0,6.532125205930807,10.601604278074866,24,50.00%,565,2559.0,4.529203539823009,24,50.00%
WAS,1066,55.72%,44.28%,594,356,59.93%,3746.0,6.306397306397306,10.52247191011236,13,36.11%,472,2070.0,4.385593220338983,13,36.11%
